ProblemSize,RUNS,TotalParticles,AvgE2ETime,AvgAlgoTime
8,67108864,536870912,1.896845403,1.896811609
16,33554432,536870912,1.793404251,1.793402340
32,16777216,536870912,1.852984650,1.852982713
64,8388608,536870912,1.796276183,1.796273066
128,4194304,536870912,1.746301837,1.746293054
256,2097152,536870912,1.725209886,1.725198924
512,1048576,536870912,1.683913719,1.683894629
1024,524288,536870912,1.659245762,1.659208828
2048,262144,536870912,1.660756554,1.660691839
4096,131072,536870912,1.659448601,1.659315269
8192,65536,536870912,1.683094726,1.682827408
16384,32768,536870912,1.675345896,1.674786224
32768,16384,536870912,1.660945696,1.659785404
65536,8192,536870912,1.664432685,1.662121892
131072,4096,536870912,1.703749096,1.699106059
262144,2048,536870912,1.693290977,1.683956044
524288,1024,536870912,1.723315355,1.705946619
1048576,512,536870912,1.775280902,1.741594225
2097152,256,536870912,1.836788050,1.769948873
4194304,128,536870912,1.901290206,1.767654894
8388608,64,536870912,2.031709688,1.764713697
16777216,32,536870912,2.300930261,1.766540257
33554432,16,536870912,2.825600598,1.763804982
67108864,8,536870912,3.909440383,1.777400990
134217728,4,536870912,6.101981495,1.780927316
268435456,2,536870912,10.449877739,1.834977002
536870912,1,536870912,19.060448521,1.837715831
