ProblemSize,RUNS,TotalParticles,AvgE2ETime,AvgAlgoTime
8,67108864,536870912,2.166640086,2.166586144
16,33554432,536870912,2.096331509,2.096328826
32,16777216,536870912,2.296338263,2.296335206
64,8388608,536870912,1.980683110,1.980678401
128,4194304,536870912,1.940377583,1.940364654
256,2097152,536870912,1.930853118,1.930811642
512,1048576,536870912,1.883784339,1.883760239
1024,524288,536870912,1.887020723,1.886971969
2048,262144,536870912,2.035257056,2.035175698
4096,131072,536870912,1.996564649,1.996378926
8192,65536,536870912,1.866529408,1.866217285
16384,32768,536870912,1.881176442,1.880524778
32768,16384,536870912,1.890305079,1.888952802
65536,8192,536870912,1.904145525,1.901484669
131072,4096,536870912,1.888239314,1.882968366
262144,2048,536870912,2.110996775,2.100222510
524288,1024,536870912,1.984855931,1.964200078
1048576,512,536870912,2.056076411,2.018590714
2097152,256,536870912,2.061093749,1.949795876
4194304,128,536870912,6.034873650,1.975678439
8388608,64,536870912,5.607972851,1.953087573
16777216,32,536870912,11.031664869,1.969137230
33554432,16,536870912,26.330769117,1.988075008
67108864,8,536870912,44.335742015,2.268524360
134217728,4,536870912,44.536152183,1.995354519
268435456,2,536870912,72.520294877,2.053354431
536870912,1,536870912,62.273563714,2.156662315
