ProblemSize,RUNS,TotalParticles,AvgE2ETime,AvgAlgoTime
8,67108864,536870912,5.724312442,5.724272383
16,33554432,536870912,5.401572646,5.401571108
32,16777216,536870912,5.152199031,5.152197063
64,8388608,536870912,5.063062156,5.063059156
128,4194304,536870912,4.981704221,4.981696917
256,2097152,536870912,4.958848588,4.958839221
512,1048576,536870912,4.962472627,4.962455433
1024,524288,536870912,4.944053951,4.944020168
2048,262144,536870912,4.948798333,4.948734463
4096,131072,536870912,4.955637360,4.955506137
8192,65536,536870912,5.054520092,5.006286801
16384,32768,536870912,5.060327169,5.024224846
32768,16384,536870912,5.036148373,5.034946442
65536,8192,536870912,5.124427452,5.076153560
131072,4096,536870912,5.005541523,5.000877686
262144,2048,536870912,5.052461579,5.014512577
524288,1024,536870912,5.840664218,5.034448347
1048576,512,536870912,5.276422739,5.090493763
2097152,256,536870912,5.895278497,5.201312521
4194304,128,536870912,6.571582928,5.205003072
8388608,64,536870912,8.589496933,5.258852904
16777216,32,536870912,13.741836564,5.247125485
33554432,16,536870912,25.354294444,5.299130489
67108864,8,536870912,36.113515894,5.173890927
134217728,4,536870912,37.674610198,5.187013585
268435456,2,536870912,41.314787785,5.252830121
536870912,1,536870912,29.138042621,5.566897304
