ProblemSize,RUNS,TotalParticles,AvgE2ETime,AvgAlgoTime
8,67108864,536870912,1.734220738,1.734178600
16,33554432,536870912,1.541657139,1.541656403
32,16777216,536870912,1.623789727,1.623788530
64,8388608,536870912,1.536289311,1.536287470
128,4194304,536870912,1.511000675,1.510995819
256,2097152,536870912,1.467349242,1.467341416
512,1048576,536870912,1.455031628,1.455015576
1024,524288,536870912,1.446634682,1.446603798
2048,262144,536870912,1.436174490,1.436115211
4096,131072,536870912,1.436911764,1.436791773
8192,65536,536870912,1.437427320,1.437179338
16384,32768,536870912,1.448820485,1.448291718
32768,16384,536870912,1.433587696,1.432478288
65536,8192,536870912,1.433152472,1.430953062
131072,4096,536870912,1.438334888,1.433973192
262144,2048,536870912,1.445831807,1.437056182
524288,1024,536870912,1.449533601,1.433038036
1048576,512,536870912,1.503311224,1.471176887
2097152,256,536870912,1.619561935,1.555940748
4194304,128,536870912,1.688208453,1.561133077
8388608,64,536870912,1.813920600,1.561201816
16777216,32,536870912,2.057442519,1.556551975
33554432,16,536870912,2.572496924,1.564988169
67108864,8,536870912,3.558524456,1.570288214
134217728,4,536870912,5.632420388,1.630090168
268435456,2,536870912,9.698271215,1.645621267
536870912,1,536870912,17.567396980,1.627325419
