ProblemSize,RUNS,TotalParticles,AvgE2ETime,AvgAlgoTime
8,67108864,536870912,2.269963988,2.269923768
16,33554432,536870912,2.157450625,2.157449787
32,16777216,536870912,2.151863225,2.151862068
64,8388608,536870912,2.124713315,2.124711331
128,4194304,536870912,2.059989821,2.059984334
256,2097152,536870912,2.022755221,2.022746451
512,1048576,536870912,2.079040690,2.079025025
1024,524288,536870912,2.067120277,2.067089241
2048,262144,536870912,2.083768370,2.083708433
4096,131072,536870912,2.073055897,2.072936243
8192,65536,536870912,2.098788044,2.098542009
16384,32768,536870912,2.045582245,2.045030615
32768,16384,536870912,2.010007761,2.008859050
65536,8192,536870912,2.011593394,2.009419015
131072,4096,536870912,2.014634910,2.010314790
262144,2048,536870912,2.045511148,2.036888199
524288,1024,536870912,2.055272382,2.039441705
1048576,512,536870912,2.215975812,2.184482182
2097152,256,536870912,2.267071037,2.204168875
4194304,128,536870912,2.329758101,2.202889844
8388608,64,536870912,2.455445214,2.204171039
16777216,32,536870912,2.736214235,2.224065504
33554432,16,536870912,3.195855733,2.188819484
67108864,8,536870912,4.210084162,2.204010324
134217728,4,536870912,6.217818570,2.204997183
268435456,2,536870912,10.328909468,2.208120856
536870912,1,536870912,18.647964973,2.451753959
