ProblemSize,RUNS,TotalParticles,AvgE2ETime,AvgAlgoTime
8,67108864,536870912,0.827843206,0.827842058
16,33554432,536870912,0.815737171,0.815735845
32,16777216,536870912,0.784957689,0.784955828
64,8388608,536870912,0.787438184,0.787432027
128,4194304,536870912,0.766063982,0.766056567
256,2097152,536870912,0.611736735,0.611724154
512,1048576,536870912,0.641517284,0.641496622
1024,524288,536870912,0.584894884,0.584853744
2048,262144,536870912,0.558521620,0.558440988
4096,131072,536870912,0.538536418,0.538368961
8192,65536,536870912,0.532508980,0.532190238
16384,32768,536870912,0.516950817,0.516279711
32768,16384,536870912,0.521584018,0.520277976
65536,8192,536870912,0.525856734,0.523185051
131072,4096,536870912,0.524127768,0.518887938
262144,2048,536870912,0.537426122,0.526827072
524288,1024,536870912,0.568774777,0.547342559
1048576,512,536870912,0.684764045,0.640505831
2097152,256,536870912,0.863215045,0.775735817
4194304,128,536870912,1.028028686,0.854207851
8388608,64,536870912,1.236760816,0.890579874
16777216,32,536870912,1.582359428,0.880019328
33554432,16,536870912,2.235456627,0.868856315
67108864,8,536870912,3.626844127,0.865872278
134217728,4,536870912,6.464939021,0.901560393
268435456,2,536870912,12.034753596,0.885677985
536870912,1,536870912,55.526486771,33.106563182
