ProblemSize,RUNS,TotalParticles,AvgE2ETime,AvgAlgoTime
8,67108864,536870912,1.008995197,1.008993884
16,33554432,536870912,0.925244844,0.925243556
32,16777216,536870912,0.880386381,0.880384545
64,8388608,536870912,0.787729866,0.787723743
128,4194304,536870912,0.725088101,0.725079699
256,2097152,536870912,0.676379230,0.676366032
512,1048576,536870912,0.674968516,0.674946372
1024,524288,536870912,0.645852433,0.645811255
2048,262144,536870912,0.646344876,0.646262937
4096,131072,536870912,0.637511287,0.637346577
8192,65536,536870912,0.634456272,0.634139934
16384,32768,536870912,0.630194790,0.629552530
32768,16384,536870912,0.638369460,0.637055798
65536,8192,536870912,0.643307585,0.640695948
131072,4096,536870912,0.652717889,0.647536386
262144,2048,536870912,0.669176582,0.658648092
524288,1024,536870912,0.748827919,0.727742196
1048576,512,536870912,0.876392450,0.833766329
2097152,256,536870912,1.044256454,0.957874346
4194304,128,536870912,1.217292303,1.044778924
8388608,64,536870912,1.432519812,1.081217846
16777216,32,536870912,1.784081274,1.088345635
33554432,16,536870912,2.476438694,1.082747745
67108864,8,536870912,3.836379971,1.069483831
134217728,4,536870912,6.559873729,1.052581461
268435456,2,536870912,12.174710500,1.098197815
536870912,1,536870912,81.234436410,57.991213726
