ProblemSize,RUNS,TotalParticles,AvgE2ETime,AvgAlgoTime
8,67108864,536870912,0.921161762,0.921160724
16,33554432,536870912,0.884202504,0.884201073
32,16777216,536870912,0.881250988,0.881249310
64,8388608,536870912,0.871704984,0.871699233
128,4194304,536870912,0.839406021,0.839398651
256,2097152,536870912,0.825002439,0.824989906
512,1048576,536870912,0.803009710,0.802988404
1024,524288,536870912,0.739814936,0.739775059
2048,262144,536870912,0.696732416,0.696653541
4096,131072,536870912,0.640748840,0.640588511
8192,65536,536870912,0.619556019,0.619240113
16384,32768,536870912,0.590362176,0.589715946
32768,16384,536870912,0.582527888,0.581227539
65536,8192,536870912,0.582676870,0.580046580
131072,4096,536870912,0.579538091,0.574348159
262144,2048,536870912,0.590110297,0.579614756
524288,1024,536870912,0.604457462,0.583451409
1048576,512,536870912,0.647060942,0.604135631
2097152,256,536870912,0.715532389,0.630543725
4194304,128,536870912,0.835842877,0.665207204
8388608,64,536870912,1.042645363,0.702259944
16777216,32,536870912,1.428916597,0.744352306
33554432,16,536870912,2.090693267,0.714437159
67108864,8,536870912,3.459539978,0.715310663
134217728,4,536870912,6.184199399,0.714922577
268435456,2,536870912,11.713061428,0.719319016
536870912,1,536870912,39.901425044,17.540046577
