ProblemSize,RUNS,TotalParticles,AvgE2ETime,AvgAlgoTime
8,67108864,536870912,0.823009763,0.823008864
16,33554432,536870912,0.823622382,0.823621043
32,16777216,536870912,0.828957212,0.828955222
64,8388608,536870912,0.848747134,0.848740928
128,4194304,536870912,0.825643723,0.825636406
256,2097152,536870912,0.543796733,0.543783846
512,1048576,536870912,0.537831018,0.537811239
1024,524288,536870912,0.484076768,0.484037018
2048,262144,536870912,0.466872494,0.466793989
4096,131072,536870912,0.470658428,0.470500432
8192,65536,536870912,0.438573834,0.438261888
16384,32768,536870912,0.429706219,0.429038306
32768,16384,536870912,0.412370846,0.411067586
65536,8192,536870912,0.402991230,0.400399520
131072,4096,536870912,0.404752280,0.399464393
262144,2048,536870912,0.404859132,0.394444826
524288,1024,536870912,0.423475494,0.402347690
1048576,512,536870912,0.489192975,0.446871274
2097152,256,536870912,0.600056215,0.514982295
4194304,128,536870912,0.779076888,0.608682415
8388608,64,536870912,1.004174278,0.660503682
16777216,32,536870912,1.355457129,0.671552919
33554432,16,536870912,2.061892617,0.696514879
67108864,8,536870912,3.430022570,0.676648306
134217728,4,536870912,6.126778375,0.679842921
268435456,2,536870912,11.682193438,0.681398524
536870912,1,536870912,36.126914945,13.977663383
