POINTS: 100

Iter	Interp
1	0.000000	
2	0.000000	
3	0.000000	
4	0.000000	
5	0.000000	
6	0.000000	
7	0.000000	
8	0.000000	
9	0.000000	
10	0.000000	

POINTS: 10000

Iter	Interp
1	0.000000	
2	0.000000	
3	0.000000	
4	0.000000	
5	0.000000	
6	0.000000	
7	0.000000	
8	0.000000	
9	0.000000	
10	0.000000	

POINTS: 1e+06

Iter	Interp
1	0.040000	
2	0.040000	
3	0.030000	
4	0.030000	
5	0.030000	
6	0.040000	
7	0.030000	
8	0.030000	
9	0.030000	
10	0.040000	

POINTS: 1e+08

Iter	Interp
1	2.570000	
2	2.550000	
3	2.560000	
4	2.560000	
5	2.560000	
6	2.580000	
7	2.560000	
8	2.560000	
9	2.550000	
10	2.560000	

POINTS: 1e+09

Iter	Interp
1	25.640000	
2	25.640000	
3	25.640000	
4	25.610000	
5	25.780000	
6	25.630000	
7	25.650000	
8	25.820000	
9	25.650000	
10	25.630000	

