Iter	Interp	MoverSerial	MoverParallel	TotalSerial	TotalParallel
1	0.400000	0.360000	0.450000	0.760000	0.850000
2	0.380000	0.590000	0.410000	0.970000	0.790000
3	0.360000	0.590000	0.390000	0.950000	0.750000
4	0.370000	0.590000	0.390000	0.960000	0.760000
5	0.360000	0.590000	0.390000	0.950000	0.750000
6	0.370000	0.590000	0.400000	0.960000	0.770000
7	0.370000	0.590000	0.390000	0.960000	0.760000
8	0.370000	0.590000	0.390000	0.960000	0.760000
9	0.370000	0.590000	0.400000	0.960000	0.770000
10	0.370000	0.590000	0.380000	0.960000	0.750000

Total Interpolation Time: 3.720000 seconds
Total Mover Serial Time: 5.670000 seconds
Total Mover Parallel Time: 3.990000 seconds
Total Simulation Time Serial: 9.390000 seconds
Total Simulation Time Parallel: 7.710000 seconds
