POINTS: 100

Iter	Interp
1	0.000826	
2	0.000006	
3	0.000008	
4	0.000005	
5	0.000006	
6	0.000006	
7	0.000005	
8	0.000006	
9	0.000005	
10	0.000006	

POINTS: 10000

Iter	Interp
1	0.001665	
2	0.000458	
3	0.000472	
4	0.000459	
5	0.000518	
6	0.000460	
7	0.000392	
8	0.000372	
9	0.000370	
10	0.000394	

POINTS: 1e+06

Iter	Interp
1	0.008643	
2	0.008655	
3	0.008631	
4	0.009208	
5	0.008680	
6	0.009229	
7	0.009246	
8	0.008471	
9	0.008698	
10	0.008493	

POINTS: 1e+08

Iter	Interp
1	0.816420	
2	0.805914	
3	0.812510	
4	0.802748	
5	0.804474	
6	0.831705	
7	0.835878	
8	0.872884	
9	0.832834	
10	0.840315	

