Iter	Interp	MoverSerial	MoverParallel	TotalSerial	TotalParallel
1	0.129218	0.170713	0.208530	0.299931	0.337748
2	0.132110	0.171169	0.204708	0.303279	0.336818
3	0.115120	0.170321	0.199820	0.285441	0.314940
4	0.115354	0.172133	0.205188	0.287487	0.320542
5	0.114372	0.172694	0.204999	0.287066	0.319371
6	0.114987	0.171238	0.216764	0.286225	0.331751
7	0.115835	0.172477	0.211888	0.288312	0.327723
8	0.115700	0.171895	0.235368	0.287595	0.351068
9	0.117753	0.175824	0.206306	0.293577	0.324059
10	0.117086	0.171782	0.199364	0.288868	0.316450

Total Interpolation Time: 1.187535 seconds
Total Mover Serial Time: 1.720246 seconds
Total Mover Parallel Time: 2.092935 seconds
Total Simulation Time Serial: 2.907781 seconds
Total Simulation Time Parallel: 3.280470 seconds
