
NX=250 NY=100
----------

Particles = 100

Iter	Interp(s)	Mover(s)	Total(s)
1	0.000000	0.000000	0.000000
2	0.000000	0.000000	0.000000
3	0.000000	0.000000	0.000000
4	0.000000	0.000000	0.000000
5	0.000000	0.000000	0.000000
6	0.000000	0.000000	0.000000
7	0.000000	0.000000	0.000000
8	0.000000	0.000000	0.000000
9	0.000000	0.000000	0.000000
10	0.000000	0.000000	0.000000
SUM	0.000000	0.000000	0.000000

Particles = 10000

Iter	Interp(s)	Mover(s)	Total(s)
1	0.000000	0.000000	0.000000
2	0.000000	0.000000	0.000000
3	0.000000	0.000000	0.000000
4	0.000000	0.000000	0.000000
5	0.000000	0.000000	0.000000
6	0.000000	0.000000	0.000000
7	0.010000	0.000000	0.010000
8	0.000000	0.000000	0.000000
9	0.000000	0.000000	0.000000
10	0.000000	0.000000	0.000000
SUM	0.010000	0.000000	0.010000

Particles = 1000000

Iter	Interp(s)	Mover(s)	Total(s)
1	0.040000	0.030000	0.070000
2	0.040000	0.030000	0.070000
3	0.040000	0.030000	0.070000
4	0.040000	0.030000	0.070000
5	0.040000	0.030000	0.070000
6	0.040000	0.020000	0.060000
7	0.030000	0.020000	0.050000
8	0.030000	0.020000	0.050000
9	0.040000	0.020000	0.060000
10	0.030000	0.020000	0.050000
SUM	0.370000	0.250000	0.620000

Particles = 100000000

Iter	Interp(s)	Mover(s)	Total(s)
1	3.030000	2.350000	5.380000
2	3.030000	2.340000	5.370000
3	3.040000	2.310000	5.350000
4	3.030000	2.300000	5.330000
5	3.030000	2.300000	5.330000
6	3.020000	2.300000	5.320000
7	3.020000	2.300000	5.320000
8	3.020000	2.290000	5.310000
9	3.050000	2.310000	5.360000
10	3.080000	2.290000	5.370000
SUM	30.350000	23.090000	53.440000

NX=500 NY=200
----------

Particles = 100

Iter	Interp(s)	Mover(s)	Total(s)
1	0.000000	0.000000	0.000000
2	0.000000	0.000000	0.000000
3	0.000000	0.000000	0.000000
4	0.000000	0.000000	0.000000
5	0.000000	0.000000	0.000000
6	0.000000	0.000000	0.000000
7	0.000000	0.000000	0.000000
8	0.000000	0.000000	0.000000
9	0.000000	0.000000	0.000000
10	0.000000	0.000000	0.000000
SUM	0.000000	0.000000	0.000000

Particles = 10000

Iter	Interp(s)	Mover(s)	Total(s)
1	0.000000	0.000000	0.000000
2	0.000000	0.000000	0.000000
3	0.010000	0.000000	0.010000
4	0.000000	0.000000	0.000000
5	0.000000	0.000000	0.000000
6	0.000000	0.000000	0.000000
7	0.000000	0.000000	0.000000
8	0.000000	0.000000	0.000000
9	0.000000	0.000000	0.000000
10	0.000000	0.000000	0.000000
SUM	0.010000	0.000000	0.010000

Particles = 1000000

Iter	Interp(s)	Mover(s)	Total(s)
1	0.030000	0.020000	0.050000
2	0.030000	0.030000	0.060000
3	0.030000	0.020000	0.050000
4	0.030000	0.020000	0.050000
5	0.030000	0.030000	0.060000
6	0.030000	0.020000	0.050000
7	0.030000	0.020000	0.050000
8	0.030000	0.030000	0.060000
9	0.030000	0.020000	0.050000
10	0.030000	0.020000	0.050000
SUM	0.300000	0.230000	0.530000

Particles = 100000000

Iter	Interp(s)	Mover(s)	Total(s)
1	3.100000	2.300000	5.400000
2	3.100000	2.290000	5.390000
3	3.100000	2.290000	5.390000
4	3.100000	2.290000	5.390000
5	3.160000	2.280000	5.440000
6	3.100000	2.280000	5.380000
7	3.090000	2.280000	5.370000
8	3.100000	2.270000	5.370000
9	3.100000	2.290000	5.390000
10	3.200000	2.320000	5.520000
SUM	31.150000	22.890000	54.040000

NX=1000 NY=400
----------

Particles = 100

Iter	Interp(s)	Mover(s)	Total(s)
1	0.000000	0.000000	0.000000
2	0.000000	0.000000	0.000000
3	0.000000	0.000000	0.000000
4	0.000000	0.000000	0.000000
5	0.000000	0.000000	0.000000
6	0.000000	0.000000	0.000000
7	0.000000	0.000000	0.000000
8	0.000000	0.000000	0.000000
9	0.000000	0.000000	0.000000
10	0.000000	0.000000	0.000000
SUM	0.000000	0.000000	0.000000

Particles = 10000

Iter	Interp(s)	Mover(s)	Total(s)
1	0.010000	0.000000	0.010000
2	0.000000	0.000000	0.000000
3	0.000000	0.000000	0.000000
4	0.000000	0.000000	0.000000
5	0.000000	0.000000	0.000000
6	0.000000	0.000000	0.000000
7	0.000000	0.000000	0.000000
8	0.000000	0.000000	0.000000
9	0.000000	0.010000	0.010000
10	0.000000	0.000000	0.000000
SUM	0.010000	0.010000	0.020000

Particles = 1000000

Iter	Interp(s)	Mover(s)	Total(s)
1	0.040000	0.020000	0.060000
2	0.030000	0.030000	0.060000
3	0.030000	0.020000	0.050000
4	0.030000	0.030000	0.060000
5	0.030000	0.020000	0.050000
6	0.040000	0.020000	0.060000
7	0.030000	0.020000	0.050000
8	0.040000	0.020000	0.060000
9	0.030000	0.030000	0.060000
10	0.030000	0.020000	0.050000
SUM	0.330000	0.230000	0.560000

Particles = 100000000

Iter	Interp(s)	Mover(s)	Total(s)
1	3.110000	2.280000	5.390000
2	3.110000	2.280000	5.390000
3	3.110000	2.270000	5.380000
4	3.120000	2.280000	5.400000
5	3.120000	2.270000	5.390000
6	3.120000	2.270000	5.390000
7	3.120000	2.270000	5.390000
8	3.110000	2.270000	5.380000
9	3.140000	2.310000	5.450000
10	3.280000	2.290000	5.570000
SUM	31.340000	22.790000	54.130000
