
NX=250 NY=100
----------

Particles = 100

Iter	Interp(s)	Mover(s)	Total(s)
1	0.000015	0.000016	0.000031
2	0.000002	0.000001	0.000003
3	0.000002	0.000002	0.000004
4	0.000003	0.000003	0.000006
5	0.000003	0.000002	0.000005
6	0.000004	0.000001	0.000005
7	0.000003	0.000003	0.000006
8	0.000003	0.000002	0.000005
9	0.000003	0.000002	0.000005
10	0.000003	0.000002	0.000005
SUM	0.000041	0.000034	0.000075

Particles = 10000

Iter	Interp(s)	Mover(s)	Total(s)
1	0.000037	0.000156	0.000193
2	0.000036	0.000155	0.000191
3	0.000033	0.000154	0.000187
4	0.000032	0.000154	0.000186
5	0.000034	0.000154	0.000188
6	0.000034	0.000154	0.000188
7	0.000033	0.000154	0.000187
8	0.000045	0.000234	0.000279
9	0.000050	0.000233	0.000283
10	0.000053	0.000233	0.000286
SUM	0.000387	0.001781	0.002168

Particles = 1000000

Iter	Interp(s)	Mover(s)	Total(s)
1	0.003766	0.016300	0.020066
2	0.003278	0.014521	0.017799
3	0.003069	0.013619	0.016688
4	0.002933	0.013454	0.016387
5	0.002905	0.013472	0.016377
6	0.002891	0.013499	0.016390
7	0.002896	0.013459	0.016355
8	0.002862	0.013537	0.016399
9	0.002830	0.013431	0.016261
10	0.002826	0.013485	0.016311
SUM	0.030256	0.138777	0.169033

Particles = 100000000

Iter	Interp(s)	Mover(s)	Total(s)
1	0.566266	1.439267	2.005533
2	0.302321	1.391169	1.693490
3	0.324631	1.721443	2.046074
4	0.300628	1.422107	1.722735
5	0.316550	1.672778	1.989328
6	0.321309	2.055525	2.376834
7	0.313285	1.366979	1.680264
8	0.295831	1.373419	1.669250
9	0.299530	1.390948	1.690478
10	0.309731	1.364253	1.673984
SUM	3.350082	15.197888	18.547970

NX=500 NY=200
----------

Particles = 100

Iter	Interp(s)	Mover(s)	Total(s)
1	0.000060	0.000002	0.000062
2	0.000012	0.000001	0.000013
3	0.000009	0.000004	0.000013
4	0.000009	0.000001	0.000010
5	0.000009	0.000001	0.000010
6	0.000010	0.000001	0.000011
7	0.000008	0.000001	0.000009
8	0.000008	0.000002	0.000010
9	0.000008	0.000001	0.000009
10	0.000007	0.000002	0.000009
SUM	0.000140	0.000016	0.000156

Particles = 10000

Iter	Interp(s)	Mover(s)	Total(s)
1	0.000062	0.000140	0.000202
2	0.000036	0.000139	0.000175
3	0.000035	0.000135	0.000170
4	0.000033	0.000134	0.000167
5	0.000034	0.000135	0.000169
6	0.000036	0.000134	0.000170
7	0.000035	0.000135	0.000170
8	0.000034	0.000135	0.000169
9	0.000036	0.000137	0.000173
10	0.000035	0.000135	0.000170
SUM	0.000376	0.001359	0.001735

Particles = 1000000

Iter	Interp(s)	Mover(s)	Total(s)
1	0.003130	0.013553	0.016683
2	0.003188	0.013576	0.016764
3	0.003152	0.013531	0.016683
4	0.003126	0.013521	0.016647
5	0.003147	0.013525	0.016672
6	0.003057	0.013516	0.016573
7	0.003147	0.013475	0.016622
8	0.003125	0.013553	0.016678
9	0.003142	0.013512	0.016654
10	0.003152	0.013535	0.016687
SUM	0.031366	0.135297	0.166663

Particles = 100000000

Iter	Interp(s)	Mover(s)	Total(s)
1	0.313845	1.366953	1.680798
2	0.314031	1.359541	1.673572
3	0.314780	1.354808	1.669588
4	0.313849	1.355978	1.669827
5	0.322853	1.358124	1.680977
6	0.313559	1.353855	1.667414
7	0.313112	1.354120	1.667232
8	0.314142	1.354853	1.668995
9	0.314680	1.353235	1.667915
10	0.312955	1.353925	1.666880
SUM	3.147806	13.565392	16.713198

NX=1000 NY=400
----------

Particles = 100

Iter	Interp(s)	Mover(s)	Total(s)
1	0.000043	0.000001	0.000044
2	0.000040	0.000002	0.000042
3	0.000042	0.000002	0.000044
4	0.000038	0.000002	0.000040
5	0.000037	0.000001	0.000038
6	0.000036	0.000002	0.000038
7	0.000038	0.000001	0.000039
8	0.000036	0.000001	0.000037
9	0.000037	0.000002	0.000039
10	0.000037	0.000002	0.000039
SUM	0.000384	0.000016	0.000400

Particles = 10000

Iter	Interp(s)	Mover(s)	Total(s)
1	0.000134	0.000141	0.000275
2	0.000055	0.000134	0.000189
3	0.000050	0.000135	0.000185
4	0.000049	0.000135	0.000184
5	0.000048	0.000135	0.000183
6	0.000049	0.000142	0.000191
7	0.000068	0.000143	0.000211
8	0.000048	0.000135	0.000183
9	0.000048	0.000135	0.000183
10	0.000049	0.000135	0.000184
SUM	0.000598	0.001370	0.001968

Particles = 1000000

Iter	Interp(s)	Mover(s)	Total(s)
1	0.003321	0.013568	0.016889
2	0.003298	0.013501	0.016799
3	0.003316	0.013453	0.016769
4	0.003287	0.013540	0.016827
5	0.003267	0.013646	0.016913
6	0.003236	0.013487	0.016723
7	0.003237	0.013448	0.016685
8	0.003299	0.013454	0.016753
9	0.003265	0.013467	0.016732
10	0.003226	0.013469	0.016695
SUM	0.032752	0.135033	0.167785

Particles = 100000000

Iter	Interp(s)	Mover(s)	Total(s)
1	0.323538	1.358895	1.682433
2	0.325230	1.394586	1.719816
3	0.343196	1.564554	1.907750
4	0.372697	1.366695	1.739392
5	0.345693	1.385099	1.730792
6	0.333780	1.371742	1.705522
7	0.325646	1.358800	1.684446
8	0.324204	1.351128	1.675332
9	0.323886	1.505025	1.828911
10	0.410657	1.405730	1.816387
SUM	3.428527	14.062254	17.490781
