
NX=250 NY=100
----------

Particles = 100

Iter	Interp(s)	Mover(s)	Total(s)
1	0.000000	0.000000	0.000000
2	0.000000	0.000000	0.000000
3	0.000000	0.000000	0.000000
4	0.000000	0.000000	0.000000
5	0.000000	0.000000	0.000000
6	0.000000	0.000000	0.000000
7	0.000000	0.000000	0.000000
8	0.000000	0.000000	0.000000
9	0.000000	0.000000	0.000000
10	0.000000	0.000000	0.000000
SUM	0.000000	0.000000	0.000000

Particles = 10000

Iter	Interp(s)	Mover(s)	Total(s)
1	0.000000	0.000000	0.000000
2	0.000000	0.000000	0.000000
3	0.000000	0.000000	0.000000
4	0.000000	0.000000	0.000000
5	0.000000	0.000000	0.000000
6	0.000000	0.000000	0.000000
7	0.000000	0.000000	0.000000
8	0.010000	0.000000	0.010000
9	0.000000	0.000000	0.000000
10	0.000000	0.000000	0.000000
SUM	0.010000	0.000000	0.010000

Particles = 1000000

Iter	Interp(s)	Mover(s)	Total(s)
1	0.050000	0.030000	0.080000
2	0.040000	0.030000	0.070000
3	0.040000	0.030000	0.070000
4	0.040000	0.030000	0.070000
5	0.040000	0.030000	0.070000
6	0.040000	0.030000	0.070000
7	0.040000	0.030000	0.070000
8	0.040000	0.020000	0.060000
9	0.030000	0.020000	0.050000
10	0.030000	0.030000	0.060000
SUM	0.390000	0.280000	0.670000

Particles = 100000000

Iter	Interp(s)	Mover(s)	Total(s)
1	3.020000	2.250000	5.270000
2	3.030000	2.250000	5.280000
3	3.070000	2.240000	5.310000
4	3.030000	2.250000	5.280000
5	3.030000	2.240000	5.270000
6	3.020000	2.240000	5.260000
7	3.030000	2.240000	5.270000
8	3.030000	2.240000	5.270000
9	3.020000	2.240000	5.260000
10	3.030000	2.240000	5.270000
SUM	30.310000	22.430000	52.740000

NX=500 NY=200
----------

Particles = 100

Iter	Interp(s)	Mover(s)	Total(s)
1	0.000000	0.000000	0.000000
2	0.000000	0.000000	0.000000
3	0.000000	0.000000	0.000000
4	0.000000	0.000000	0.000000
5	0.000000	0.000000	0.000000
6	0.000000	0.000000	0.000000
7	0.000000	0.000000	0.000000
8	0.000000	0.000000	0.000000
9	0.000000	0.000000	0.000000
10	0.000000	0.000000	0.000000
SUM	0.000000	0.000000	0.000000

Particles = 10000

Iter	Interp(s)	Mover(s)	Total(s)
1	0.000000	0.000000	0.000000
2	0.000000	0.000000	0.000000
3	0.000000	0.000000	0.000000
4	0.000000	0.000000	0.000000
5	0.000000	0.000000	0.000000
6	0.000000	0.000000	0.000000
7	0.000000	0.000000	0.000000
8	0.000000	0.000000	0.000000
9	0.000000	0.000000	0.000000
10	0.000000	0.000000	0.000000
SUM	0.000000	0.000000	0.000000

Particles = 1000000

Iter	Interp(s)	Mover(s)	Total(s)
1	0.030000	0.030000	0.060000
2	0.030000	0.020000	0.050000
3	0.030000	0.020000	0.050000
4	0.030000	0.030000	0.060000
5	0.030000	0.020000	0.050000
6	0.030000	0.020000	0.050000
7	0.030000	0.020000	0.050000
8	0.040000	0.020000	0.060000
9	0.030000	0.020000	0.050000
10	0.030000	0.020000	0.050000
SUM	0.310000	0.220000	0.530000

Particles = 100000000

Iter	Interp(s)	Mover(s)	Total(s)
1	3.100000	2.250000	5.350000
2	3.100000	2.240000	5.340000
3	3.100000	2.240000	5.340000
4	3.110000	2.240000	5.350000
5	3.100000	2.230000	5.330000
6	3.100000	2.230000	5.330000
7	3.100000	2.240000	5.340000
8	3.100000	2.230000	5.330000
9	3.100000	2.240000	5.340000
10	3.100000	2.230000	5.330000
SUM	31.010000	22.370000	53.380000

NX=1000 NY=400
----------

Particles = 100

Iter	Interp(s)	Mover(s)	Total(s)
1	0.000000	0.000000	0.000000
2	0.000000	0.000000	0.000000
3	0.000000	0.000000	0.000000
4	0.000000	0.000000	0.000000
5	0.000000	0.000000	0.000000
6	0.000000	0.000000	0.000000
7	0.000000	0.000000	0.000000
8	0.000000	0.000000	0.000000
9	0.000000	0.000000	0.000000
10	0.000000	0.000000	0.000000
SUM	0.000000	0.000000	0.000000

Particles = 10000

Iter	Interp(s)	Mover(s)	Total(s)
1	0.000000	0.000000	0.000000
2	0.010000	0.000000	0.010000
3	0.000000	0.000000	0.000000
4	0.000000	0.000000	0.000000
5	0.000000	0.000000	0.000000
6	0.000000	0.000000	0.000000
7	0.000000	0.000000	0.000000
8	0.000000	0.000000	0.000000
9	0.000000	0.000000	0.000000
10	0.000000	0.000000	0.000000
SUM	0.010000	0.000000	0.010000

Particles = 1000000

Iter	Interp(s)	Mover(s)	Total(s)
1	0.040000	0.020000	0.060000
2	0.030000	0.020000	0.050000
3	0.040000	0.020000	0.060000
4	0.030000	0.020000	0.050000
5	0.040000	0.020000	0.060000
6	0.030000	0.020000	0.050000
7	0.040000	0.020000	0.060000
8	0.030000	0.020000	0.050000
9	0.040000	0.020000	0.060000
10	0.030000	0.020000	0.050000
SUM	0.350000	0.200000	0.550000

Particles = 100000000

Iter	Interp(s)	Mover(s)	Total(s)
1	3.090000	2.230000	5.320000
2	3.100000	2.230000	5.330000
3	3.100000	2.240000	5.340000
4	3.090000	2.240000	5.330000
5	3.200000	2.240000	5.440000
6	3.090000	2.240000	5.330000
7	3.090000	2.230000	5.320000
8	3.090000	2.230000	5.320000
9	3.090000	2.240000	5.330000
10	3.090000	2.230000	5.320000
SUM	31.030000	22.350000	53.380000
