
NX=250 NY=100
----------

Particles = 100

Iter	Interp(s)	Mover(s)	Total(s)
1	0.000017	0.000001	0.000018
2	0.000003	0.000002	0.000005
3	0.000003	0.000002	0.000005
4	0.000002	0.000002	0.000004
5	0.000003	0.000001	0.000004
6	0.000003	0.000002	0.000005
7	0.000004	0.000001	0.000005
8	0.000003	0.000002	0.000005
9	0.000003	0.000002	0.000005
10	0.000003	0.000002	0.000005
SUM	0.000044	0.000017	0.000061

Particles = 10000

Iter	Interp(s)	Mover(s)	Total(s)
1	0.000034	0.000201	0.000235
2	0.000042	0.000192	0.000234
3	0.000043	0.000193	0.000236
4	0.000043	0.000161	0.000204
5	0.000033	0.000143	0.000176
6	0.000041	0.000150	0.000191
7	0.000031	0.000143	0.000174
8	0.000031	0.000159	0.000190
9	0.000032	0.000143	0.000175
10	0.000030	0.000144	0.000174
SUM	0.000360	0.001629	0.001989

Particles = 1000000

Iter	Interp(s)	Mover(s)	Total(s)
1	0.003665	0.015167	0.018832
2	0.003162	0.013930	0.017092
3	0.002900	0.013489	0.016389
4	0.002837	0.013281	0.016118
5	0.002884	0.013458	0.016342
6	0.002885	0.013338	0.016223
7	0.002913	0.013614	0.016527
8	0.002946	0.013430	0.016376
9	0.002968	0.013393	0.016361
10	0.002934	0.013419	0.016353
SUM	0.030094	0.136519	0.166613

Particles = 100000000

Iter	Interp(s)	Mover(s)	Total(s)
1	0.544275	1.455335	1.999610
2	0.322183	1.359677	1.681860
3	0.299225	1.357668	1.656893
4	0.301701	1.360454	1.662155
5	0.300166	1.357946	1.658112
6	0.309153	1.399194	1.708347
7	0.328337	1.367129	1.695466
8	0.302674	1.379012	1.681686
9	0.300581	1.393478	1.694059
10	0.303305	1.356286	1.659591
SUM	3.311600	13.786179	17.097779

NX=500 NY=200
----------

Particles = 100

Iter	Interp(s)	Mover(s)	Total(s)
1	0.000042	0.000001	0.000043
2	0.000006	0.000001	0.000007
3	0.000005	0.000002	0.000007
4	0.000007	0.000001	0.000008
5	0.000005	0.000002	0.000007
6	0.000006	0.000001	0.000007
7	0.000006	0.000002	0.000008
8	0.000006	0.000002	0.000008
9	0.000006	0.000003	0.000009
10	0.000006	0.000001	0.000007
SUM	0.000095	0.000016	0.000111

Particles = 10000

Iter	Interp(s)	Mover(s)	Total(s)
1	0.000042	0.000135	0.000177
2	0.000034	0.000134	0.000168
3	0.000034	0.000134	0.000168
4	0.000034	0.000135	0.000169
5	0.000036	0.000135	0.000171
6	0.000035	0.000134	0.000169
7	0.000035	0.000135	0.000170
8	0.000035	0.000135	0.000170
9	0.000035	0.000135	0.000170
10	0.000034	0.000134	0.000168
SUM	0.000354	0.001346	0.001700

Particles = 1000000

Iter	Interp(s)	Mover(s)	Total(s)
1	0.003083	0.013708	0.016791
2	0.003110	0.013543	0.016653
3	0.003074	0.013416	0.016490
4	0.003017	0.013571	0.016588
5	0.003038	0.013501	0.016539
6	0.003000	0.013418	0.016418
7	0.003139	0.013447	0.016586
8	0.003075	0.013464	0.016539
9	0.003214	0.013504	0.016718
10	0.003080	0.013427	0.016507
SUM	0.030830	0.134999	0.165829

Particles = 100000000

Iter	Interp(s)	Mover(s)	Total(s)
1	0.316243	1.367031	1.683274
2	0.318722	1.413140	1.731862
3	0.423392	1.588542	2.011934
4	0.405763	1.396479	1.802242
5	0.350334	1.377913	1.728247
6	0.315781	1.357650	1.673431
7	0.314006	1.353739	1.667745
8	0.316356	1.355930	1.672286
9	0.316554	1.354894	1.671448
10	0.314440	1.353582	1.668022
SUM	3.391591	13.918900	17.310491

NX=1000 NY=400
----------

Particles = 100

Iter	Interp(s)	Mover(s)	Total(s)
1	0.000307	0.000002	0.000309
2	0.000036	0.000002	0.000038
3	0.000035	0.000001	0.000036
4	0.000035	0.000001	0.000036
5	0.000034	0.000003	0.000037
6	0.000034	0.000002	0.000036
7	0.000033	0.000002	0.000035
8	0.000033	0.000001	0.000034
9	0.000034	0.000002	0.000036
10	0.000033	0.000001	0.000034
SUM	0.000614	0.000017	0.000631

Particles = 10000

Iter	Interp(s)	Mover(s)	Total(s)
1	0.000120	0.000134	0.000254
2	0.000053	0.000136	0.000189
3	0.000051	0.000135	0.000186
4	0.000050	0.000134	0.000184
5	0.000050	0.000134	0.000184
6	0.000050	0.000134	0.000184
7	0.000049	0.000134	0.000183
8	0.000050	0.000135	0.000185
9	0.000048	0.000134	0.000182
10	0.000049	0.000134	0.000183
SUM	0.000570	0.001344	0.001914

Particles = 1000000

Iter	Interp(s)	Mover(s)	Total(s)
1	0.003418	0.013470	0.016888
2	0.003321	0.013529	0.016850
3	0.003254	0.013490	0.016744
4	0.003244	0.013447	0.016691
5	0.003279	0.013449	0.016728
6	0.003221	0.013484	0.016705
7	0.003223	0.013472	0.016695
8	0.003292	0.013470	0.016762
9	0.003209	0.013453	0.016662
10	0.003276	0.013458	0.016734
SUM	0.032737	0.134722	0.167459

Particles = 100000000

Iter	Interp(s)	Mover(s)	Total(s)
1	0.329185	1.476140	1.805325
2	0.446090	1.390523	1.836613
3	0.325605	1.381033	1.706638
4	0.323421	1.352133	1.675554
5	0.324369	1.352831	1.677200
6	0.324610	1.351936	1.676546
7	0.324187	1.362366	1.686553
8	0.335588	1.354421	1.690009
9	0.324361	1.357711	1.682072
10	0.327711	1.379698	1.707409
SUM	3.385127	13.758792	17.143919
