Particles = 14000000, Maxiter = 10

NX=250 NY=100
----------

--- Threads = 1 ---

(With Insertion/Deletion)
Iter	Interp(s)	Mover(s)	Total(s)
1	0.436122	0.343707	0.779829
2	0.436199	0.334610	0.770808
3	0.424046	0.327993	0.752039
4	0.424229	0.326818	0.751046
5	0.424259	0.326429	0.750688
6	0.424026	0.325945	0.749971
7	0.424243	0.325791	0.750034
8	0.424143	0.325410	0.749553
9	0.424267	0.324954	0.749221
10	0.424141	0.326485	0.750627
SUM	4.265675	3.288140	7.553815

(Without Insertion/Deletion)
Iter	Interp(s)	Mover(s)	Total(s)
1	0.424791	0.398874	0.823665
2	0.424270	0.397980	0.822250
3	0.424204	0.397484	0.821688
4	0.424506	0.397139	0.821645
5	0.424274	0.397400	0.821674
6	0.424594	0.397508	0.822101
7	0.437151	0.396930	0.834082
8	0.424511	0.397127	0.821638
9	0.424425	0.397014	0.821439
10	0.424247	0.397138	0.821386
SUM	4.256973	3.974595	8.231568

--- Threads = 2 ---

(With Insertion/Deletion)
Iter	Interp(s)	Mover(s)	Total(s)
1	0.424313	0.308061	0.732374
2	0.436703	0.246207	0.682910
3	0.428410	0.225129	0.653539
4	0.424153	0.225222	0.649375
5	0.424366	0.224679	0.649045
6	0.424390	0.225097	0.649487
7	0.424320	0.226670	0.650991
8	0.436670	0.226482	0.663152
9	0.430163	0.227037	0.657199
10	0.436554	0.226767	0.663321
SUM	4.290041	2.361352	6.651393

(Without Insertion/Deletion)
Iter	Interp(s)	Mover(s)	Total(s)
1	0.436552	0.204257	0.640809
2	0.436604	0.203447	0.640051
3	0.436477	0.203356	0.639833
4	0.436849	0.203124	0.639973
5	0.432616	0.199712	0.632327
6	0.424457	0.200152	0.624609
7	0.424695	0.200310	0.625006
8	0.424364	0.200539	0.624903
9	0.424827	0.203074	0.627901
10	0.436524	0.203153	0.639677
SUM	4.313964	2.021125	6.335090

--- Threads = 4 ---

(With Insertion/Deletion)
Iter	Interp(s)	Mover(s)	Total(s)
1	0.436442	0.153119	0.589561
2	0.436636	0.133388	0.570025
3	0.436609	0.127390	0.563999
4	0.436662	0.127848	0.564510
5	0.437177	0.127663	0.564840
6	0.437119	0.127399	0.564518
7	0.437073	0.127877	0.564950
8	0.437181	0.127693	0.564874
9	0.425444	0.127605	0.553049
10	0.424758	0.127778	0.552536
SUM	4.345101	1.307760	5.652861

(Without Insertion/Deletion)
Iter	Interp(s)	Mover(s)	Total(s)
1	0.424657	0.112637	0.537294
2	0.437893	0.112554	0.550447
3	0.437322	0.112487	0.549810
