Particles = 14000000, Maxiter = 10

NX=250 NY=100
----------

--- Threads = 1 ---

(With Insertion/Deletion)
Iter	Interp(s)	Mover(s)	Total(s)
1	0.054076	0.190604	0.244680
2	0.041227	0.189061	0.230288
3	0.042088	0.234518	0.276606
4	0.042426	0.187846	0.230272
5	0.042544	0.189790	0.232334
6	0.042431	0.188106	0.230537
7	0.041847	0.189043	0.230890
8	0.041572	0.188012	0.229584
9	0.041973	0.191229	0.233202
10	0.042375	0.188096	0.230471
SUM	0.432559	1.936305	2.368864

(Without Insertion/Deletion)
Iter	Interp(s)	Mover(s)	Total(s)
1	0.041993	0.053467	0.095460
2	0.042057	0.052785	0.094842
3	0.042190	0.053154	0.095344
4	0.042189	0.053137	0.095326
5	0.042069	0.052576	0.094645
6	0.042025	0.052632	0.094657
7	0.042277	0.052883	0.095160
8	0.046710	0.052714	0.099424
9	0.041928	0.052791	0.094719
10	0.042075	0.052489	0.094564
SUM	0.425513	0.528628	0.954141

--- Threads = 2 ---

(With Insertion/Deletion)
Iter	Interp(s)	Mover(s)	Total(s)
1	0.041860	0.027051	0.068911
2	0.041869	0.026837	0.068706
3	0.042617	0.026954	0.069571
4	0.041820	0.026863	0.068683
5	0.041567	0.026911	0.068478
6	0.041798	0.027019	0.068817
7	0.041682	0.026904	0.068586
8	0.041508	0.026954	0.068462
9	0.041696	0.026925	0.068621
10	0.041524	0.027166	0.068690
SUM	0.417941	0.269584	0.687525

(Without Insertion/Deletion)
Iter	Interp(s)	Mover(s)	Total(s)
1	0.042044	0.027483	0.069527
2	0.041899	0.027470	0.069369
3	0.041884	0.027315	0.069199
4	0.042040	0.027677	0.069717
5	0.042430	0.027328	0.069758
6	0.042147	0.028225	0.070372
7	0.090663	0.030890	0.121553
8	0.081340	0.027320	0.108660
9	0.041876	0.027289	0.069165
10	0.042687	0.027384	0.070071
SUM	0.509010	0.278381	0.787391

--- Threads = 4 ---

(With Insertion/Deletion)
Iter	Interp(s)	Mover(s)	Total(s)
1	0.042328	0.014428	0.056756
2	0.041707	0.014176	0.055883
3	0.041996	0.014460	0.056456
4	0.043179	0.015347	0.058526
5	0.042846	0.015297	0.058143
6	0.042616	0.015005	0.057621
7	0.042194	0.014179	0.056373
8	0.041930	0.014245	0.056175
9	0.041615	0.014269	0.055884
10	0.041710	0.014258	0.055968
SUM	0.422121	0.145664	0.567785

(Without Insertion/Deletion)
Iter	Interp(s)	Mover(s)	Total(s)
1	0.042900	0.015281	0.058181
2	0.043339	0.015222	0.058561
3	0.042286	0.014877	0.057163
4	0.042616	0.014251	0.056867
5	0.041824	0.014196	0.056020
6	0.041884	0.014091	0.055975
7	0.041675	0.014184	0.055859
8	0.041951	0.014264	0.056215
9	0.041916	0.014185	0.056101
10	0.042597	0.015103	0.057700
SUM	0.422988	0.145654	0.568642

--- Threads = 8 ---

(With Insertion/Deletion)
Iter	Interp(s)	Mover(s)	Total(s)
1	0.042441	0.011666	0.054107
2	0.043079	0.010161	0.053240
3	0.041892	0.010105	0.051997
